"Population_number","Sample.number","Sample.identity","Location.details","Lat","Long","pg2C","S.D.","hybrid","ploidy","specPop","popMeans","popSd","popN","spMeans","spSd","spN","pg1C"
"AT1411","BUH2","E. virgursii","Bunny's Hill, Bodmin Moor, Cornwall",50.478278,-4.650861,1.31,0.04,FALSE,"dip","E. virgursii.AT1411",0.68,0.0229128784747792,3,0.680625,0.01875,4,0.655
"AT1411","BUH3","E. virgursii","Bunny's Hill, Bodmin Moor, Cornwall",50.478278,-4.650861,1.37,0.03,FALSE,"dip","E. virgursii.AT1411",0.68,0.0229128784747792,3,0.680625,0.01875,4,0.685
"AT1412","WAR1","E. micrantha x nemorosa","Warleggan, Bodmin Moor, Cornwall",50.484389,-4.627444,2.4,0.02,TRUE,"tet","E. micrantha x nemorosa.AT1412",1.1925,0.0229673681557117,6,1.18,0.0180277563773199,3,1.2
"AT1412","WAR2","E. micrantha x nemorosa","Warleggan, Bodmin Moor, Cornwall",50.484389,-4.627444,2.35,0.02,TRUE,"tet","E. micrantha x nemorosa.AT1412",1.1925,0.0229673681557117,6,1.18,0.0180277563773199,3,1.175
"AT1412","WAR3","E. micrantha x nemorosa","Warleggan, Bodmin Moor, Cornwall",50.484389,-4.627444,2.33,0.03,TRUE,"tet","E. micrantha x nemorosa.AT1412",1.1925,0.0229673681557117,6,1.18,0.0180277563773199,3,1.165
"AT1412","WAR4","E. nemorosa","Warleggan, Bodmin Moor, Cornwall",50.484389,-4.627444,2.4,0.06,FALSE,"tet","E. nemorosa.AT1412",1.1925,0.0229673681557117,6,1.19297727272727,0.0486823277399375,22,1.2
"AT1412","WAR5","E. nemorosa","Warleggan, Bodmin Moor, Cornwall",50.484389,-4.627444,2.37,0.03,FALSE,"tet","E. nemorosa.AT1412",1.1925,0.0229673681557117,6,1.19297727272727,0.0486823277399375,22,1.185
"AT1412","WAR6","E. nemorosa","Warleggan, Bodmin Moor, Cornwall",50.484389,-4.627444,2.46,0.01,FALSE,"tet","E. nemorosa.AT1412",1.1925,0.0229673681557117,6,1.19297727272727,0.0486823277399375,22,1.23
"AT1628","AT1628_1","E. nemorosa","Roadside, near Penuel, Wales",51.620298,-4.0962174,2.49,0.014,FALSE,"tet","E. nemorosa.AT1628",1.25788888883333,0.0234883738490784,3,1.19297727272727,0.0486823277399375,22,1.245
"AT1628","AT1628_2","E. nemorosa","Roadside, near Penuel, Wales",51.620298,-4.0962174,2.487333333,0.025716402,FALSE,"tet","E. nemorosa.AT1628",1.25788888883333,0.0234883738490784,3,1.19297727272727,0.0486823277399375,22,1.2436666665
"AT1628","AT1628_3","E. nemorosa","Roadside, near Penuel, Wales",51.620298,-4.0962174,2.57,0.011269428,FALSE,"tet","E. nemorosa.AT1628",1.25788888883333,0.0234883738490784,3,1.19297727272727,0.0486823277399375,22,1.285
"AT1630","AT1630_1","E. anglica","Leason, Wales",51.613008,-4.1857821,1.275,0.012529964,FALSE,"dip","E. anglica.AT1630",0.646222222166667,0.0100198875404904,3,0.644521739108696,0.0289207076756019,23,0.6375
"AT1630","AT1630_2","E. anglica","Leason, Wales",51.613008,-4.1857821,1.288,0.00781025,FALSE,"dip","E. anglica.AT1630",0.646222222166667,0.0100198875404904,3,0.644521739108696,0.0289207076756019,23,0.644
"AT1630","AT1630_3","E. anglica","Leason, Wales",51.613008,-4.1857821,1.314333333,0.008621678,FALSE,"dip","E. anglica.AT1630",0.646222222166667,0.0100198875404904,3,0.644521739108696,0.0289207076756019,23,0.6571666665
"AT1631","AT1631_1","E. tetraquetra","Southgate, Wales",51.565719,-4.0892756,2.312666667,0.067500617,FALSE,"tet","E. tetraquetra.AT1631",1.14083333333333,0.0186286817516847,3,1.159875,0.0343493663653118,8,1.1563333335
"AT1631","AT1631_2","E. tetraquetra","Southgate, Wales",51.565719,-4.0892756,2.240333333,0.016563011,FALSE,"tet","E. tetraquetra.AT1631",1.14083333333333,0.0186286817516847,3,1.159875,0.0343493663653118,8,1.1201666665
"AT1631","AT1631_3","E. tetraquetra","Southgate, Wales",51.565719,-4.0892756,2.292,0.057,FALSE,"tet","E. tetraquetra.AT1631",1.14083333333333,0.0186286817516847,3,1.159875,0.0343493663653118,8,1.146
"AT1632","AT1632_1","E. nemorosa","Flytipping point, Bynea, Wales",51.668385,-4.0949955,2.431,0.025632011,FALSE,"tet","E. nemorosa.AT1632",1.22216666666667,0.0312054124721266,3,1.19297727272727,0.0486823277399375,22,1.2155
"AT1632","AT1632_2","E. nemorosa","Flytipping point, Bynea, Wales",51.668385,-4.0949955,2.512333333,0.024785749,FALSE,"tet","E. nemorosa.AT1632",1.22216666666667,0.0312054124721266,3,1.19297727272727,0.0486823277399375,22,1.2561666665
"AT1632","AT1632_3","E. nemorosa","Flytipping point, Bynea, Wales",51.668385,-4.0949955,2.389666667,0.063406099,FALSE,"tet","E. nemorosa.AT1632",1.22216666666667,0.0312054124721266,3,1.19297727272727,0.0486823277399375,22,1.1948333335
"AT1638","AT1638_1","E. nemorosa","National Botanic G",51.844717,-4.1454818,2.431666667,0.016072751,FALSE,"tet","E. nemorosa.AT1638",1.22177777783333,0.0051541065010411,3,1.19297727272727,0.0486823277399375,22,1.2158333335
"AT1638","AT1638_2","E. nemorosa","National Botanic G",51.844717,-4.1454818,2.45,0.008888194,FALSE,"tet","E. nemorosa.AT1638",1.22177777783333,0.0051541065010411,3,1.19297727272727,0.0486823277399375,22,1.225
"AT1638","AT1638_3","E. nemorosa","National Botanic G",51.844717,-4.1454818,2.449,0.004582576,FALSE,"tet","E. nemorosa.AT1638",1.22177777783333,0.0051541065010411,3,1.19297727272727,0.0486823277399375,22,1.2245
"AT1639","AT1639_1","E. anglica","National Botanic G",51.844717,-4.1454818,1.262666667,0.049662192,FALSE,"dip","E. anglica.AT1639",0.634833333333333,0.0124577061113014,3,0.644521739108696,0.0289207076756019,23,0.6313333335
"AT1639","AT1639_2","E. anglica","National Botanic G",51.844717,-4.1454818,1.249,0.013527749,FALSE,"dip","E. anglica.AT1639",0.634833333333333,0.0124577061113014,3,0.644521739108696,0.0289207076756019,23,0.6245
"AT1639","AT1639_3","E. anglica","National Botanic G",51.844717,-4.1454818,1.297333333,0.010016653,FALSE,"dip","E. anglica.AT1639",0.634833333333333,0.0124577061113014,3,0.644521739108696,0.0289207076756019,23,0.6486666665
"B1188 (R1786)","B1188 (R1786)","E. rivularis","Honiston",54.512841,-3.2033509,1.379,0.008185353,FALSE,"dip","E. rivularis.B1188 (R1786)",0.6895,NA,1,0.68225,0.0102530483272049,2,0.6895
"B1228 (R1764)","B1228 (R1764)","E. rostkoviana","Conwy, Wales",53.057146,-3.7853775,1.409666667,0.005507571,FALSE,"dip","E. rostkoviana.B1228 (R1764)",0.7048333335,NA,1,0.669555555583333,0.0362503129301946,6,0.7048333335
"B145 (M1787)","B145 (M1787)","E. montana","Sparket meadow",54.621424,-2.8810667,1.358,0.016522712,FALSE,"dip","E. montana.B145 (M1787)",0.679,NA,1,0.705722222166667,0.0236586449331755,3,0.679
"B1801 (M1787)","B1801 (M1787)","E. montana","Sparket meadow",54.621424,-2.8810667,1.428333333,0.008386497,FALSE,"dip","E. montana.B1801 (M1787)",0.7141666665,NA,1,0.705722222166667,0.0236586449331755,3,0.7141666665
"B272 (R1762)","B272 (R1762)","E. rostkoviana","Gowy Meadow",55.0579,-2.5038055,1.428,0.009165151,FALSE,"dip","E. rostkoviana.B272 (R1762)",0.714,NA,1,0.669555555583333,0.0362503129301946,6,0.714
"B283 (R1765)","B283 (R1765)","E. rostkoviana","Derwentfolds farm",54.618637,-3.0918854,1.357,0.003464102,FALSE,"dip","E. rostkoviana.B283 (R1765)",0.6785,NA,1,0.669555555583333,0.0362503129301946,6,0.6785
"B456 (R1785) ","B456 (R1785) ","E. rivularis","On the Monkey Shelf",54.513476,-3.2063199,1.35,0.006082763,FALSE,"dip","E. rivularis.B456 (R1785) ",0.675,NA,1,0.68225,0.0102530483272049,2,0.675
"B676 (M1787)","B676 (M1787)","E. montana","Sparket meadow",54.621424,-2.8810667,1.448,0.011532563,FALSE,"dip","E. montana.B676 (M1787)",0.724,NA,1,0.705722222166667,0.0236586449331755,3,0.724
"BERW1","","E. arctica","North Berwick, grassland near golf course, East Lothian, Scotland",56.056898,-2.709373,2.31,0.02,FALSE,"tet","E. arctica.BERW1",1.155,NA,1,1.1894409256875,0.0659296952973628,40,1.155
"E4E0009","","E. arctica","Devil's Hole Blowout, Ravenmeols Local Nature Reserve, Merseyside, England",53.540616,-3.0904117,2.2,0.01,FALSE,"tet","E. arctica.E4E0009",1.09,0.014142135623731,2,1.1894409256875,0.0659296952973628,40,1.1
"E4E0009","","E. arctica","Devil's Hole Blowout, Ravenmeols Local Nature Reserve, Merseyside, England",53.540616,-3.0904117,2.16,0.01,FALSE,"tet","E. arctica.E4E0009",1.09,0.014142135623731,2,1.1894409256875,0.0659296952973628,40,1.08
"E4E0016","","E. anglica","Straduff Rathcabbin, Tipperary, Republic of Ireland",53.119022,-8.024541,1.28,0,FALSE,"dip","E. anglica.E4E0016",0.645,0.013228756555323,3,0.644521739108696,0.0289207076756019,23,0.64
"E4E0016","","E. anglica","Straduff Rathcabbin, Tipperary, Republic of Ireland",53.119022,-8.024541,1.27,0.01,FALSE,"dip","E. anglica.E4E0016",0.645,0.013228756555323,3,0.644521739108696,0.0289207076756019,23,0.635
"E4E0016","","E. anglica","Straduff Rathcabbin, Tipperary, Republic of Ireland",53.119022,-8.024541,1.32,0.01,FALSE,"dip","E. anglica.E4E0016",0.645,0.013228756555323,3,0.644521739108696,0.0289207076756019,23,0.66
"E4E0021","","E. nemorosa x confusa","Dunamase, Laois, Ireland",53.031526,-7.210153,2.33,0,TRUE,"tet","E. nemorosa x confusa.E4E0021",1.14,0.025,3,1.14,0.025,3,1.165
"E4E0021","","E. nemorosa x confusa","Dunamase, Laois, Ireland",53.031526,-7.210153,2.28,0.01,TRUE,"tet","E. nemorosa x confusa.E4E0021",1.14,0.025,3,1.14,0.025,3,1.14
"E4E0021","","E. nemorosa x confusa","Dunamase, Laois, Ireland",53.031526,-7.210153,2.23,0.01,TRUE,"tet","E. nemorosa x confusa.E4E0021",1.14,0.025,3,1.14,0.025,3,1.115
"E4E0027","","E. anglica","West Dean Woods, West Sussex, England",50.932124,-0.797352,1.3,0,FALSE,"dip","E. anglica.E4E0027",0.641666666666667,0.0144337567297407,3,0.644521739108696,0.0289207076756019,23,0.65
"E4E0027","","E. anglica x nemorosa","West Dean Woods, West Sussex, England",50.932124,-0.797352,1.3,0.01,TRUE,"dip","E. anglica x nemorosa.E4E0027",0.641666666666667,0.0144337567297407,3,0.6375,0.0176776695296637,2,0.65
"E4E0027","","E. anglica x nemorosa","West Dean Woods, West Sussex, England",50.932124,-0.797352,1.25,0.01,TRUE,"dip","E. anglica x nemorosa.E4E0027",0.641666666666667,0.0144337567297407,3,0.6375,0.0176776695296637,2,0.625
"E4E0028","","E. rostkoviana","Heyshott Down, West Sussex, England",50.941106,-0.71200431,1.31,0,FALSE,"dip","E. rostkoviana.E4E0028",0.64,0.01802775637732,3,0.669555555583333,0.0362503129301946,6,0.655
"E4E0028","","E. rostkoviana","Heyshott Down, West Sussex, England",50.941106,-0.71200431,1.29,0,FALSE,"dip","E. rostkoviana.E4E0028",0.64,0.01802775637732,3,0.669555555583333,0.0362503129301946,6,0.645
"E4E0028","","E. rostkoviana","Heyshott Down, West Sussex, England",50.941106,-0.71200431,1.24,0.01,FALSE,"dip","E. rostkoviana.E4E0028",0.64,0.01802775637732,3,0.669555555583333,0.0362503129301946,6,0.62
"E4E0029","","E. pseudokerneri","Levin Down, West Sussex",50.91346,-0.74150206,2.28,0.01,FALSE,"tet","E. pseudokerneri.E4E0029",1.185,0.0636396103067893,2,1.165,0.0374165738677394,9,1.14
"E4E0029","","E. pseudokerneri","Levin Down, West Sussex",50.91346,-0.74150206,2.46,0.02,FALSE,"tet","E. pseudokerneri.E4E0029",1.185,0.0636396103067893,2,1.165,0.0374165738677394,9,1.23
"E4E0031","","E. arctica x nemorosa","Dolebury Hillfort, North Somerset, England",51.326053,-2.7943166,2.41,0.01,TRUE,"tet","E. arctica x nemorosa.E4E0031",1.175,0.0424264068711929,2,1.19,0.0447213595499958,11,1.205
"E4E0031","","E. nemorosa","Dolebury Hillfort, North Somerset, England",51.326053,-2.7943166,2.29,0.01,FALSE,"tet","E. nemorosa.E4E0031",1.175,0.0424264068711929,2,1.19297727272727,0.0486823277399375,22,1.145
"E4E0033","","E. arctica","Near Quoyorally, South Ronaldsay, Orkney",58.758973,-2.9347289,2.63,0,FALSE,"tet","E. arctica.E4E0033",1.32,0.00707106781186548,2,1.1894409256875,0.0659296952973628,40,1.315
"E4E0033","","E. arctica","Near Quoyorally, South Ronaldsay, Orkney",58.758973,-2.9347289,2.65,0.02,FALSE,"tet","E. arctica.E4E0033",1.32,0.00707106781186548,2,1.1894409256875,0.0659296952973628,40,1.325
"E4E0038","","E. arctica x nemorosa","Oldbury, near Hartshill, Warwickshire, England",52.552849,-1.539803,2.28,0,TRUE,"tet","E. arctica x nemorosa.E4E0038",1.14,NA,1,1.19,0.0447213595499958,11,1.14
"E4E0049","","E. arctica","Ouaisne, Jersey, Channel Isles",49.177073,-2.18293,2.18,0.01,FALSE,"tet","E. arctica.E4E0049",1.10333333333333,0.0321455025366431,3,1.1894409256875,0.0659296952973628,40,1.09
"E4E0049","","E. arctica","Ouaisne, Jersey, Channel Isles",49.177073,-2.18293,2.16,0.01,FALSE,"tet","E. arctica.E4E0049",1.10333333333333,0.0321455025366431,3,1.1894409256875,0.0659296952973628,40,1.08
"E4E0049","","E. arctica","Ouaisne, Jersey, Channel Isles",49.177073,-2.18293,2.28,0.02,FALSE,"tet","E. arctica.E4E0049",1.10333333333333,0.0321455025366431,3,1.1894409256875,0.0659296952973628,40,1.14
"E4E0056","","E. arctica","Donna Nook Nature Reserve, Linolnshire, England",53.479435,0.1348414,2.25,0.02,FALSE,"tet","E. arctica.E4E0056",1.13,0.00707106781186548,2,1.1894409256875,0.0659296952973628,40,1.125
"E4E0056","","E. arctica","Donna Nook Nature Reserve, Linolnshire, England",53.479435,0.1348414,2.27,0.01,FALSE,"tet","E. arctica.E4E0056",1.13,0.00707106781186548,2,1.1894409256875,0.0659296952973628,40,1.135
"E4E0058","","E. anglica","Kirby Moor Nature Reserve, Lincolnshire, England",53.141742,-0.17245953,1.31,0,FALSE,"dip","E. anglica.E4E0058",0.645,0.014142135623731,2,0.644521739108696,0.0289207076756019,23,0.655
"E4E0058","","E. anglica","Kirby Moor Nature Reserve, Lincolnshire, England",53.141742,-0.17245953,1.27,0,FALSE,"dip","E. anglica.E4E0058",0.645,0.014142135623731,2,0.644521739108696,0.0289207076756019,23,0.635
"E4E0060","","E. nemorosa","Laughton Forest, F.C. Plantation",53.478384,-0.69870342,2.28,0,FALSE,"tet","E. nemorosa.E4E0060",1.1375,0.00353553390593266,2,1.19297727272727,0.0486823277399375,22,1.14
"E4E0060","","E. nemorosa","Laughton Forest, F.C. Plantation",53.478384,-0.69870342,2.27,0.02,FALSE,"tet","E. nemorosa.E4E0060",1.1375,0.00353553390593266,2,1.19297727272727,0.0486823277399375,22,1.135
"E4E0064","","E. arctica","Castle Hill Local Nature Reserve, Newhaven, East Sussex",50.7842,0.052719133,2.21,0.01,FALSE,"tet","E. arctica.E4E0064",1.105,NA,1,1.1894409256875,0.0659296952973628,40,1.105
"E4E0065","","E. arctica","Itford Hill, Beddingham, East Sussex",50.833827,0.043534208,2.08,0.02,FALSE,"tet","E. arctica.E4E0065",1.04,NA,1,1.1894409256875,0.0659296952973628,40,1.04
"E4E0069","","E. arctica x nemorosa","Hand off Centurion Way, Meridian Business Park, Leicester, Leicestershire, England",52.608565,-1.1980921,2.57,0.01,TRUE,"tet","E. arctica x nemorosa.E4E0069",1.185,0.0673300329224138,4,1.19,0.0447213595499958,11,1.285
"E4E0069","","E. arctica x nemorosa","Hand off Centurion Way, Meridian Business Park, Leicester, Leicestershire, England",52.608565,-1.1980921,2.29,0.02,TRUE,"tet","E. arctica x nemorosa.E4E0069",1.185,0.0673300329224138,4,1.19,0.0447213595499958,11,1.145
"E4E0069","","E. arctica x nemorosa","Hand off Centurion Way, Meridian Business Park, Leicester, Leicestershire, England",52.608565,-1.1980921,2.29,0.02,TRUE,"tet","E. arctica x nemorosa.E4E0069",1.185,0.0673300329224138,4,1.19,0.0447213595499958,11,1.145
"E4E0069","","E. arctica x nemorosa","Hand off Centurion Way, Meridian Business Park, Leicester, Leicestershire, England",52.608565,-1.1980921,2.33,0.02,TRUE,"tet","E. arctica x nemorosa.E4E0069",1.185,0.0673300329224138,4,1.19,0.0447213595499958,11,1.165
"E4E0070","","E. arctica","Gofynne, Wales",52.141449,-3.4563908,2.36,0.01,FALSE,"tet","E. arctica.E4E0070",1.19625,0.0368272996566406,4,1.1894409256875,0.0659296952973628,40,1.18
"E4E0070","","E. arctica","Gofynne, Wales",52.141449,-3.4563908,2.48,0,FALSE,"tet","E. arctica.E4E0070",1.19625,0.0368272996566406,4,1.1894409256875,0.0659296952973628,40,1.24
"E4E0070","","E. arctica","Gofynne, Wales",52.141449,-3.4563908,2.31,0.01,FALSE,"tet","E. arctica.E4E0070",1.19625,0.0368272996566406,4,1.1894409256875,0.0659296952973628,40,1.155
"E4E0070","","E. arctica","Gofynne, Wales",52.141449,-3.4563908,2.42,0.01,FALSE,"tet","E. arctica.E4E0070",1.19625,0.0368272996566406,4,1.1894409256875,0.0659296952973628,40,1.21
"E4E0085","","E. anglica","Braeside Boreland, Lockerbie, Dumfriesshire",55.185463,-3.0789089,1.45,0.01,FALSE,"dip","E. anglica.E4E0085",0.725,NA,1,0.644521739108696,0.0289207076756019,23,0.725
"E4E0094","","E. confusa x tetraquetra","Cocklemill Burn at Shell Bay, Fife, Scotland",56.197273,-2.8702653,2.37,0.01,TRUE,"tet","E. confusa x tetraquetra.E4E0094",1.185,NA,1,1.185,NA,1,1.185
"E4E0095","","E. arctica","North Anston Grassland above Anston Brook, South Yorkshire, England",53.347383,-1.2080343,2.37,0.01,FALSE,"tet","E. arctica.E4E0095",1.20166666666667,0.0175594229214212,3,1.1894409256875,0.0659296952973628,40,1.185
"E4E0095","","E. arctica","North Anston Grassland above Anston Brook, South Yorkshire, England",53.347383,-1.2080343,2.44,0.01,FALSE,"tet","E. arctica.E4E0095",1.20166666666667,0.0175594229214212,3,1.1894409256875,0.0659296952973628,40,1.22
"E4E0095","","E. arctica","North Anston Grassland above Anston Brook, South Yorkshire, England",53.347383,-1.2080343,2.4,0.02,FALSE,"tet","E. arctica.E4E0095",1.20166666666667,0.0175594229214212,3,1.1894409256875,0.0659296952973628,40,1.2
"E4E0112","","E. arctica","Beeston Common, Norfolk, England",52.934417,1.2200712,2.48,0.02,FALSE,"tet","E. arctica.E4E0112",1.20166666666667,0.0340342964277702,3,1.1894409256875,0.0659296952973628,40,1.24
"E4E0112","","E. arctica x nemorosa","Beeston Common, Norfolk, England",52.934417,1.2200712,2.38,0.01,TRUE,"tet","E. arctica x nemorosa.E4E0112",1.20166666666667,0.0340342964277702,3,1.19,0.0447213595499958,11,1.19
